Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",728.99,738.74,685.04,685.04,"126,208,000","5,754,970,000"
"Feb 19, 2018",687.70,731.11,687.22,728.73,"89,328,600","5,427,640,000"
"Feb 18, 2018",744.09,747.42,673.57,689.28,"96,752,600","5,871,020,000"
"Feb 17, 2018",699.13,748.89,693.64,742.16,"116,106,000","5,515,090,000"
"Feb 16, 2018",702.53,722.02,684.28,698.86,"100,343,000","5,540,570,000"
"Feb 15, 2018",679.79,705.67,667.21,703.86,"116,822,000","5,359,910,000"
"Feb 14, 2018",593.59,685.12,593.59,678.98,"138,992,000","4,679,080,000"
"Feb 13, 2018",622.12,625.75,583.40,595.47,"73,287,300","4,902,660,000"
"Feb 12, 2018",582.83,626.77,582.83,620.56,"76,646,200","4,591,910,000"
"Feb 11, 2018",633.43,633.43,561.91,580.02,"81,111,400","4,989,410,000"
"Feb 10, 2018",639.42,672.16,604.84,634.10,"116,397,000","5,035,300,000"
"Feb 09, 2018",606.76,638.33,577.45,637.82,"93,581,200","4,776,920,000"
"Feb 08, 2018",520.91,609.47,520.91,605.00,"90,716,700","4,100,000,000"
"Feb 07, 2018",524.70,584.48,493.67,521.99,"79,763,600","4,128,770,000"
"Feb 06, 2018",454.17,533.55,383.97,528.50,"114,171,000","3,572,920,000"
"Feb 05, 2018",545.32,553.60,435.42,451.43,"78,015,400","4,288,890,000"
"Feb 04, 2018",637.01,649.37,533.99,549.96,"80,706,600","5,008,820,000"
"Feb 03, 2018",589.17,645.85,533.25,637.37,"83,763,700","4,631,430,000"
"Feb 02, 2018",616.62,616.62,453.43,586.88,"143,263,000","4,842,830,000"
"Feb 01, 2018",698.79,704.55,582.21,617.04,"109,256,000","5,486,820,000"
"Jan 31, 2018",678.93,699.31,654.86,697.46,"97,657,100","5,329,560,000"
"Jan 30, 2018",767.73,781.68,675.32,676.91,"112,419,000","6,025,040,000"
"Jan 29, 2018",811.84,818.31,747.13,767.69,"114,750,000","6,369,620,000"
"Jan 28, 2018",777.05,815.91,767.28,812.24,"122,949,000","6,095,130,000"
"Jan 27, 2018",782.87,788.67,753.37,773.84,"115,618,000","6,139,280,000"
"Jan 26, 2018",793.92,815.83,741.85,782.41,"100,517,000","6,224,310,000"
"Jan 25, 2018",788.77,819.09,782.13,795.65,"114,378,000","6,182,430,000"
"Jan 24, 2018",757.11,797.54,734.41,775.11,"116,898,000","5,932,760,000"
"Jan 23, 2018",763.13,796.99,692.93,757.34,"110,265,000","5,978,460,000"
"Jan 22, 2018",825.69,847.58,710.57,763.20,"100,651,000","6,466,930,000"
"Jan 21, 2018",928.13,930.18,802.41,818.27,"109,775,000","7,267,440,000"
"Jan 20, 2018",853.05,959.04,848.98,926.12,"162,376,000","6,677,870,000"
"Jan 19, 2018",833.30,875.40,805.67,846.16,"126,837,000","6,521,630,000"
"Jan 18, 2018",800.02,892.00,760.48,835.49,"172,729,000","6,259,570,000"
"Jan 17, 2018",758.29,827.18,619.58,793.57,"197,477,000","5,931,600,000"
"Jan 16, 2018",937.57,937.57,644.54,759.62,"273,462,000","7,332,160,000"
"Jan 15, 2018",1006.43,1030.90,939.19,939.19,"179,247,000","7,868,670,000"
"Jan 14, 2018",1098.06,1110.54,996.49,1014.07,"168,878,000","8,582,900,000"
"Jan 13, 2018",1054.88,1125.29,1054.88,1100.26,"174,387,000","8,243,350,000"
"Jan 12, 2018",1013.06,1069.42,982.91,1054.87,"142,442,000","7,914,550,000"
"Jan 11, 2018",1103.03,1110.68,973.07,1007.88,"176,591,000","8,615,280,000"
"Jan 10, 2018",1115.48,1117.33,1041.39,1106.36,"231,944,000","8,710,310,000"
"Jan 09, 2018",1085.75,1134.49,1055.21,1111.86,"220,569,000","8,476,040,000"
"Jan 08, 2018",1283.36,1320.28,1007.55,1087.75,"215,239,000","10,016,200,000"
"Jan 07, 2018",1266.43,1394.28,1266.43,1285.43,"230,576,000","9,881,510,000"
"Jan 06, 2018",1157.09,1279.47,1147.49,1265.03,"215,058,000","9,026,110,000"
"Jan 05, 2018",1221.63,1273.36,1151.11,1152.41,"237,504,000","9,527,170,000"
"Jan 04, 2018",1173.71,1316.86,1097.56,1229.79,"284,845,000","9,151,080,000"
"Jan 03, 2018",1208.84,1216.57,1144.69,1170.74,"175,843,000","9,422,640,000"
"Jan 02, 2018",1055.14,1241.70,1055.14,1217.72,"257,110,000","8,218,420,000"
"Jan 01, 2018",1054.07,1072.42,1016.57,1053.98,"138,567,000","8,207,990,000"
"Dec 31, 2017",1002.99,1093.39,985.10,1051.68,"154,690,000","7,808,250,000"
"Dec 30, 2017",1147.48,1147.48,948.24,1011.47,"184,834,000","8,930,900,000"
"Dec 29, 2017",1165.88,1187.55,1070.62,1147.95,"195,177,000","9,071,760,000"
