Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",943.57,965.26,892.95,895.37,"2,545,260,000","92,206,500,000"
"Feb 19, 2018",921.67,957.78,921.55,943.87,"2,169,020,000","90,047,700,000"
"Feb 18, 2018",973.35,982.93,915.45,923.92,"2,567,290,000","95,077,100,000"
"Feb 17, 2018",944.75,976.60,940.75,974.12,"2,525,720,000","92,264,000,000"
"Feb 16, 2018",934.79,950.00,917.85,944.21,"2,369,450,000","91,272,100,000"
"Feb 15, 2018",923.73,951.95,911.11,936.98,"2,900,100,000","90,173,300,000"
"Feb 14, 2018",844.28,926.43,844.28,923.56,"2,818,370,000","82,400,600,000"
"Feb 13, 2018",869.29,870.71,828.84,845.26,"2,081,170,000","84,824,200,000"
"Feb 12, 2018",817.51,875.94,817.51,868.71,"2,243,450,000","79,754,400,000"
"Feb 11, 2018",859.29,859.29,788.22,814.66,"2,486,650,000","83,813,000,000"
"Feb 10, 2018",882.47,917.40,825.58,860.41,"2,930,530,000","86,055,600,000"
"Feb 09, 2018",818.48,884.00,788.83,883.87,"2,495,820,000","79,799,300,000"
"Feb 08, 2018",755.84,845.09,755.84,817.81,"3,708,190,000","73,676,900,000"
"Feb 07, 2018",790.43,851.20,723.43,757.07,"3,896,180,000","77,032,000,000"
"Feb 06, 2018",707.74,796.44,574.42,793.12,"6,518,270,000","68,958,700,000"
"Feb 05, 2018",834.96,856.65,644.60,697.95,"4,269,530,000","81,337,400,000"
"Feb 04, 2018",964.67,969.03,805.06,834.68,"2,997,090,000","93,953,400,000"
"Feb 03, 2018",919.21,991.94,847.69,964.02,"3,243,480,000","89,507,600,000"
"Feb 02, 2018",1035.77,1035.77,757.98,915.78,"6,713,290,000","100,836,000,000"
"Feb 01, 2018",1119.37,1161.35,984.82,1036.79,"5,261,680,000","108,952,000,000"
"Jan 31, 2018",1071.09,1128.66,1034.50,1118.31,"3,757,560,000","104,231,000,000"
"Jan 30, 2018",1184.13,1184.63,1058.97,1071.13,"4,107,860,000","115,207,000,000"
"Jan 29, 2018",1246.70,1256.70,1169.08,1182.36,"3,715,080,000","121,269,000,000"
"Jan 28, 2018",1111.78,1257.77,1111.78,1246.01,"5,372,330,000","108,122,000,000"
"Jan 27, 2018",1055.75,1121.98,1042.12,1107.07,"3,002,870,000","102,651,000,000"
"Jan 26, 2018",1052.70,1080.60,996.78,1055.17,"3,617,690,000","102,334,000,000"
"Jan 25, 2018",1063.22,1104.66,1034.74,1056.03,"4,050,190,000","103,335,000,000"
"Jan 24, 2018",987.48,1062.44,965.81,1058.78,"3,944,040,000","95,952,700,000"
"Jan 23, 2018",1004.17,1023.23,920.54,986.23,"3,556,700,000","97,554,300,000"
"Jan 22, 2018",1055.35,1089.10,930.74,1003.26,"3,810,100,000","102,504,000,000"
"Jan 21, 2018",1155.68,1155.68,1021.50,1049.58,"3,378,090,000","112,226,000,000"
"Jan 20, 2018",1044.95,1167.11,1044.95,1155.15,"3,975,190,000","101,451,000,000"
"Jan 19, 2018",1028.82,1093.22,1003.71,1039.10,"4,084,450,000","99,863,900,000"
"Jan 18, 2018",1016.44,1100.31,967.76,1036.28,"5,938,320,000","98,642,100,000"
"Jan 17, 2018",1061.34,1090.23,780.92,1014.25,"8,545,160,000","102,974,000,000"
"Jan 16, 2018",1292.63,1292.63,875.54,1053.69,"8,405,140,000","125,389,000,000"
"Jan 15, 2018",1365.21,1390.59,1290.60,1291.92,"4,781,100,000","132,404,000,000"
"Jan 14, 2018",1397.48,1400.56,1286.21,1366.77,"4,841,630,000","135,503,000,000"
"Jan 13, 2018",1270.47,1432.88,1270.47,1396.42,"5,746,760,000","123,163,000,000"
"Jan 12, 2018",1158.29,1296.04,1120.09,1273.20,"5,222,300,000","112,263,000,000"
