Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",223.09,253.90,222.51,232.85,"1,739,670,000","12,335,100,000"
"Feb 19, 2018",215.41,226.97,215.38,223.06,"767,597,000","11,907,900,000"
"Feb 18, 2018",230.51,232.64,214.46,215.74,"1,011,120,000","12,738,800,000"
"Feb 17, 2018",229.50,233.45,225.60,229.47,"863,401,000","12,679,700,000"
"Feb 16, 2018",225.50,236.09,212.33,230.12,"1,300,090,000","12,455,300,000"
"Feb 15, 2018",212.35,237.88,211.17,225.43,"2,087,290,000","11,725,700,000"
"Feb 14, 2018",159.58,218.23,159.58,213.36,"2,383,340,000","8,809,590,000"
"Feb 13, 2018",161.78,162.37,153.51,159.55,"483,468,000","8,928,360,000"
"Feb 12, 2018",150.10,163.35,150.10,161.57,"535,710,000","8,282,050,000"
"Feb 11, 2018",155.39,155.73,142.61,148.99,"495,720,000","8,571,530,000"
"Feb 10, 2018",163.49,169.33,149.14,155.59,"576,328,000","9,015,890,000"
"Feb 09, 2018",149.73,163.98,142.59,163.95,"722,205,000","8,254,980,000"
"Feb 08, 2018",138.34,151.08,138.34,149.47,"869,207,000","7,624,630,000"
"Feb 07, 2018",142.48,157.90,131.52,138.20,"817,808,000","7,851,100,000"
"Feb 06, 2018",127.52,146.11,106.94,142.99,"1,148,410,000","7,024,630,000"
"Feb 05, 2018",148.73,153.52,118.15,125.33,"844,678,000","8,190,580,000"
"Feb 04, 2018",160.38,173.80,139.69,148.03,"1,006,080,000","8,829,970,000"
"Feb 03, 2018",131.40,165.56,121.17,160.25,"687,676,000","7,232,410,000"
"Feb 02, 2018",142.56,142.56,105.35,131.38,"815,540,000","7,844,710,000"
"Feb 01, 2018",163.68,165.81,131.55,142.30,"539,880,000","9,004,330,000"
"Jan 31, 2018",165.30,167.07,157.65,163.35,"363,293,000","9,090,870,000"
"Jan 30, 2018",181.44,181.52,163.03,165.28,"433,227,000","9,976,170,000"
"Jan 29, 2018",193.75,194.39,179.23,181.66,"303,561,000","10,649,800,000"
"Jan 28, 2018",181.42,194.68,181.42,193.87,"363,515,000","9,969,420,000"
"Jan 27, 2018",176.66,183.15,174.88,180.89,"291,633,000","9,705,020,000"
"Jan 26, 2018",179.82,182.89,167.08,176.73,"375,477,000","9,875,590,000"
"Jan 25, 2018",181.56,185.42,176.35,180.27,"363,138,000","9,968,750,000"
"Jan 24, 2018",178.43,186.28,173.72,179.99,"375,949,000","9,793,780,000"
"Jan 23, 2018",180.28,186.31,165.73,177.81,"441,765,000","9,892,990,000"
"Jan 22, 2018",191.79,195.25,166.88,180.01,"494,091,000","10,521,900,000"
"Jan 21, 2018",211.24,211.24,184.64,190.42,"463,516,000","11,585,700,000"
"Jan 20, 2018",194.38,214.59,194.38,211.02,"540,786,000","10,658,300,000"
"Jan 19, 2018",191.19,202.07,186.94,192.96,"560,284,000","10,480,800,000"
"Jan 18, 2018",186.95,207.02,176.83,192.84,"936,784,000","10,245,500,000"
"Jan 17, 2018",190.15,197.79,141.01,186.52,"1,422,490,000","10,417,800,000"
"Jan 16, 2018",232.82,232.82,152.29,188.33,"1,405,070,000","12,752,100,000"
"Jan 15, 2018",237.29,245.00,232.77,232.77,"601,770,000","12,993,700,000"
"Jan 14, 2018",260.58,270.85,234.27,238.68,"886,415,000","14,265,000,000"
"Jan 13, 2018",236.88,263.19,236.88,259.19,"961,043,000","12,964,300,000"
"Jan 12, 2018",229.79,243.59,224.82,236.86,"691,160,000","12,572,900,000"
"Jan 11, 2018",251.52,255.05,223.00,229.37,"1,079,390,000","13,758,400,000"
"Jan 10, 2018",248.07,251.05,233.86,250.52,"1,009,910,000","13,566,300,000"
"Jan 09, 2018",254.61,258.50,240.18,247.04,"940,825,000","13,920,200,000"
"Jan 08, 2018",287.73,289.07,237.66,255.76,"1,182,080,000","15,726,800,000"
"Jan 07, 2018",296.05,305.53,281.93,288.45,"1,055,400,000","16,178,100,000"
"Jan 06, 2018",249.77,323.12,249.41,296.45,"2,264,740,000","13,645,300,000"
"Jan 05, 2018",241.03,256.15,237.88,249.27,"1,710,600,000","13,164,800,000"
"Jan 04, 2018",245.47,245.47,227.01,241.37,"3,481,550,000","13,403,400,000"
"Jan 03, 2018",255.69,260.74,243.13,245.37,"3,215,280,000","13,957,800,000"
"Jan 02, 2018",228.99,263.63,228.99,255.68,"1,237,950,000","12,496,900,000"
"Jan 01, 2018",231.67,236.63,222.20,229.03,"633,142,000","12,639,700,000"
"Dec 31, 2017",216.97,237.79,213.81,232.10,"771,042,000","11,835,100,000"
"Dec 30, 2017",245.09,245.43,208.20,218.96,"943,667,000","13,364,800,000"
"Dec 29, 2017",250.35,258.04,238.33,245.50,"1,392,210,000","13,648,200,000"
"Dec 28, 2017",272.13,273.18,231.38,249.93,"2,593,240,000","14,831,200,000"
"Dec 27, 2017",286.59,290.94,264.42,272.17,"777,138,000","15,615,200,000"
"Dec 26, 2017",273.11,289.51,272.26,286.50,"842,993,000","14,876,400,000"
"Dec 25, 2017",277.49,286.79,269.57,273.39,"804,377,000","15,111,400,000"
"Dec 24, 2017",291.01,291.01,251.04,275.98,"1,122,910,000","15,842,900,000"
"Dec 23, 2017",269.27,312.67,261.64,288.27,"1,352,580,000","14,655,200,000"
"Dec 22, 2017",319.26,320.30,187.48,264.93,"2,938,040,000","17,371,200,000"
"Dec 21, 2017",314.66,339.74,299.53,317.46,"1,555,940,000","17,116,600,000"
"Dec 20, 2017",349.60,349.60,308.63,314.62,"2,104,060,000","19,012,500,000"
"Dec 19, 2017",359.13,375.29,335.68,350.25,"2,150,480,000","19,525,500,000"
"Dec 18, 2017",318.95,360.93,302.00,358.34,"1,966,600,000","17,336,500,000"
"Dec 17, 2017",301.78,332.59,301.78,318.72,"1,703,580,000","16,398,800,000"
"Dec 16, 2017",299.34,309.90,290.13,298.97,"1,291,380,000","16,260,700,000"
"Dec 15, 2017",280.97,316.41,251.22,299.78,"2,599,940,000","15,258,500,000"
"Dec 14, 2017",301.20,311.32,265.66,279.33,"2,114,880,000","16,352,400,000"
"Dec 13, 2017",315.36,341.80,287.48,302.60,"3,409,790,000","17,116,500,000"
"Dec 12, 2017",212.46,341.72,209.68,316.16,"6,961,680,000","11,528,600,000"
"Dec 11, 2017",148.26,225.29,147.34,214.20,"2,913,980,000","8,042,020,000"
"Dec 10, 2017",155.63,155.63,130.16,148.66,"1,087,340,000","8,438,840,000"
"Dec 09, 2017",127.48,171.55,126.59,155.24,"2,436,540,000","6,910,360,000"
"Dec 08, 2017",98.33,133.07,95.40,124.85,"1,515,560,000","5,327,910,000"
"Dec 07, 2017",99.98,101.34,92.27,98.29,"645,691,000","5,415,710,000"
"Dec 06, 2017",102.48,104.82,97.31,100.35,"547,512,000","5,548,860,000"
"Dec 05, 2017",104.28,104.30,101.84,102.40,"328,726,000","5,644,390,000"
"Dec 04, 2017",101.40,104.24,96.53,104.24,"331,151,000","5,486,740,000"
"Dec 03, 2017",100.19,106.39,98.10,101.26,"364,022,000","5,420,380,000"
"Dec 02, 2017",98.94,103.80,98.32,100.28,"402,554,000","5,351,330,000"
"Dec 01, 2017",88.00,100.41,83.74,99.00,"561,343,000","4,758,600,000"
"Nov 30, 2017",86.25,93.54,78.08,88.33,"481,948,000","4,662,340,000"
"Nov 29, 2017",96.01,104.61,81.77,85.57,"786,820,000","5,188,580,000"
"Nov 28, 2017",91.72,96.03,90.34,96.03,"388,931,000","4,955,290,000"
"Nov 27, 2017",85.89,93.29,85.89,91.60,"429,591,000","4,638,580,000"
"Nov 26, 2017",88.94,88.94,84.02,85.93,"357,457,000","4,801,830,000"
"Nov 25, 2017",77.91,89.37,77.52,88.82,"487,897,000","4,205,220,000"
"Nov 24, 2017",73.14,77.97,72.81,77.97,"287,392,000","3,946,910,000"
"Nov 23, 2017",71.98,76.40,70.90,73.22,"315,247,000","3,882,950,000"
"Nov 22, 2017",70.18,71.95,70.18,71.89,"157,890,000","3,785,260,000"
"Nov 21, 2017",72.20,72.53,68.11,70.03,"231,665,000","3,892,860,000"
"Nov 20, 2017",71.41,72.92,70.79,72.25,"188,976,000","3,849,390,000"
"Nov 19, 2017",69.51,72.98,68.60,71.59,"243,057,000","3,745,710,000"
"Nov 18, 2017",67.41,69.77,65.71,69.64,"174,063,000","3,631,120,000"
"Nov 17, 2017",70.45,71.12,65.78,67.57,"350,505,000","3,794,080,000"
"Nov 16, 2017",63.81,72.48,62.94,71.06,"418,129,000","3,435,690,000"
"Nov 15, 2017",62.78,65.52,62.71,63.82,"194,636,000","3,379,200,000"
"Nov 14, 2017",61.64,63.81,60.87,62.68,"174,111,000","3,317,410,000"
"Nov 13, 2017",59.18,62.76,58.85,61.40,"237,478,000","3,183,830,000"
"Nov 12, 2017",62.31,62.31,57.41,59.01,"322,820,000","3,351,310,000"
"Nov 11, 2017",59.35,63.71,59.24,62.30,"272,494,000","3,191,150,000"
"Nov 10, 2017",64.44,65.90,56.91,59.26,"291,596,000","3,463,640,000"
"Nov 09, 2017",62.49,66.84,61.73,64.27,"279,653,000","3,358,100,000"
"Nov 08, 2017",61.11,64.06,60.79,62.57,"349,454,000","3,283,270,000"
"Nov 07, 2017",54.99,63.81,54.99,61.30,"402,670,000","2,953,400,000"
"Nov 06, 2017",54.76,56.17,53.95,55.17,"133,918,000","2,940,380,000"
"Nov 05, 2017",55.03,55.48,54.63,54.75,"84,302,000","2,953,940,000"
"Nov 04, 2017",56.22,56.37,54.94,55.04,"83,633,100","3,016,940,000"
"Nov 03, 2017",54.58,56.29,54.28,56.18,"150,030,000","2,928,260,000"
"Nov 02, 2017",53.56,55.28,50.85,54.74,"221,077,000","2,872,910,000"
"Nov 01, 2017",55.74,55.74,53.18,53.18,"112,759,000","2,989,140,000"
"Oct 31, 2017",56.37,56.79,55.72,55.75,"99,381,100","3,021,830,000"
"Oct 30, 2017",56.84,58.55,56.24,56.39,"129,287,000","3,046,410,000"
"Oct 29, 2017",54.67,57.75,54.49,57.11,"138,340,000","2,929,280,000"
"Oct 28, 2017",55.38,56.13,54.57,54.69,"71,063,200","2,966,700,000"
"Oct 27, 2017",55.67,56.25,55.15,55.33,"78,923,100","2,981,330,000"
"Oct 26, 2017",56.47,57.15,55.28,55.74,"81,104,700","3,023,150,000"
"Oct 25, 2017",55.95,56.58,54.09,56.49,"114,510,000","2,994,670,000"
"Oct 24, 2017",54.96,59.10,53.29,55.96,"199,789,000","2,940,790,000"
"Oct 23, 2017",56.77,56.77,52.87,54.92,"177,315,000","3,036,830,000"
"Oct 22, 2017",58.27,58.65,56.44,56.81,"96,781,400","3,116,350,000"
"Oct 21, 2017",60.30,60.52,56.83,58.20,"139,503,000","3,224,150,000"
"Oct 20, 2017",59.81,61.88,58.56,60.33,"150,542,000","3,196,870,000"
"Oct 19, 2017",60.82,61.29,58.71,59.74,"160,943,000","3,250,090,000"
"Oct 18, 2017",59.59,61.75,53.79,60.73,"283,869,000","3,183,230,000"
"Oct 17, 2017",64.67,64.70,58.85,59.48,"205,363,000","3,454,040,000"
"Oct 16, 2017",65.72,66.34,62.69,64.62,"200,428,000","3,508,860,000"
"Oct 15, 2017",64.13,70.09,62.55,65.47,"453,940,000","3,422,800,000"
"Oct 14, 2017",59.41,66.19,58.60,63.95,"313,106,000","3,169,870,000"
"Oct 13, 2017",60.55,60.96,55.84,59.43,"357,124,000","3,230,160,000"
"Oct 12, 2017",50.89,60.11,50.87,60.11,"341,369,000","2,713,870,000"
"Oct 11, 2017",50.75,51.14,50.32,50.89,"57,390,100","2,706,060,000"
"Oct 10, 2017",50.15,51.67,49.86,50.72,"90,415,500","2,673,460,000"
"Oct 09, 2017",53.08,53.39,48.47,50.16,"152,366,000","2,828,800,000"
"Oct 08, 2017",52.49,54.51,52.26,53.14,"100,841,000","2,796,640,000"
"Oct 07, 2017",52.14,52.75,51.64,52.58,"51,786,200","2,776,920,000"
"Oct 06, 2017",51.64,52.60,51.53,52.12,"59,355,900","2,749,460,000"
"Oct 05, 2017",51.40,51.87,50.44,51.67,"69,594,400","2,736,260,000"
"Oct 04, 2017",52.28,53.05,50.83,51.40,"77,473,400","2,782,460,000"
"Oct 03, 2017",53.39,53.59,51.59,52.35,"88,516,100","2,840,540,000"
"Oct 02, 2017",54.55,54.78,53.26,53.38,"95,474,600","2,901,270,000"
"Oct 01, 2017",55.14,55.16,53.63,54.54,"100,183,000","2,931,740,000"
"Sep 30, 2017",52.63,55.23,52.62,55.14,"131,446,000","2,797,460,000"
"Sep 29, 2017",54.11,54.16,50.42,52.62,"186,560,000","2,875,460,000"
"Sep 28, 2017",56.21,56.67,53.41,54.09,"202,009,000","2,986,370,000"
"Sep 27, 2017",51.58,56.54,51.58,56.28,"220,363,000","2,739,380,000"
"Sep 26, 2017",51.69,53.70,51.08,51.55,"173,663,000","2,744,540,000"
"Sep 25, 2017",47.62,52.44,47.57,51.58,"208,641,000","2,527,830,000"
"Sep 24, 2017",49.25,49.27,47.52,47.62,"82,147,100","2,613,620,000"
"Sep 23, 2017",48.16,49.79,46.69,49.27,"142,073,000","2,554,900,000"
"Sep 22, 2017",46.65,49.09,45.19,48.09,"218,134,000","2,474,380,000"
"Sep 21, 2017",51.66,52.31,45.67,46.61,"229,363,000","2,739,370,000"
"Sep 20, 2017",52.74,53.83,51.25,51.73,"160,252,000","2,795,880,000"
"Sep 19, 2017",55.68,55.88,51.05,52.84,"286,583,000","2,950,880,000"
"Sep 18, 2017",48.53,55.61,48.53,55.53,"408,675,000","2,571,070,000"
"Sep 17, 2017",48.23,49.88,45.12,48.49,"245,262,000","2,554,450,000"
"Sep 16, 2017",48.13,52.83,46.46,48.26,"562,278,000","2,548,580,000"
"Sep 15, 2017",41.69,50.65,32.03,48.21,"1,554,340,000","2,206,520,000"
"Sep 14, 2017",61.64,62.43,41.25,41.58,"749,714,000","3,261,960,000"
"Sep 13, 2017",64.32,64.60,58.93,61.73,"501,522,000","3,402,820,000"
"Sep 12, 2017",66.24,70.25,63.86,64.23,"481,218,000","3,503,300,000"
"Sep 11, 2017",61.65,67.23,61.37,66.04,"412,076,000","3,259,510,000"
"Sep 10, 2017",65.80,65.95,57.06,61.61,"529,848,000","3,478,400,000"
"Sep 09, 2017",67.21,69.55,64.01,66.01,"467,895,000","3,551,950,000"
"Sep 08, 2017",78.45,80.13,63.83,67.79,"930,673,000","4,144,630,000"
"Sep 07, 2017",79.88,81.06,75.59,78.48,"526,829,000","4,218,690,000"
"Sep 06, 2017",71.78,80.64,71.51,80.11,"830,718,000","3,789,670,000"
"Sep 05, 2017",65.25,72.44,59.05,71.29,"1,016,090,000","3,444,150,000"
"Sep 04, 2017",76.73,76.73,61.24,65.21,"922,041,000","4,049,140,000"
"Sep 03, 2017",78.98,82.83,73.61,76.84,"675,462,000","4,166,600,000"
"Sep 02, 2017",85.83,92.07,72.23,79.02,"1,363,990,000","4,526,680,000"
"Sep 01, 2017",70.86,87.41,70.01,86.04,"1,551,740,000","3,735,870,000"
"Aug 31, 2017",64.16,72.28,64.04,71.06,"633,147,000","3,381,750,000"
"Aug 30, 2017",63.16,64.21,60.90,64.17,"240,309,000","3,328,240,000"
"Aug 29, 2017",62.39,63.29,61.26,63.17,"294,799,000","3,286,610,000"
"Aug 28, 2017",61.36,64.92,59.87,62.36,"556,637,000","3,231,200,000"
"Aug 27, 2017",51.80,64.44,51.64,61.16,"890,546,000","2,726,990,000"
"Aug 26, 2017",51.17,52.26,50.45,51.75,"126,024,000","2,692,560,000"
"Aug 25, 2017",50.17,52.13,49.84,51.18,"157,619,000","2,639,490,000"
"Aug 24, 2017",52.82,53.28,50.19,50.19,"391,342,000","2,778,190,000"
"Aug 23, 2017",46.71,54.78,46.48,53.25,"447,188,000","2,456,090,000"
"Aug 22, 2017",47.90,47.90,45.48,46.73,"163,104,000","2,517,440,000"
"Aug 21, 2017",46.19,48.75,45.62,47.94,"207,172,000","2,427,130,000"
"Aug 20, 2017",45.38,47.55,44.75,46.23,"138,850,000","2,383,680,000"
"Aug 19, 2017",47.05,47.08,43.78,45.48,"155,404,000","2,471,190,000"
"Aug 18, 2017",43.90,47.86,43.59,47.28,"293,350,000","2,304,770,000"
"Aug 17, 2017",44.18,44.83,43.78,43.91,"104,020,000","2,318,000,000"
"Aug 16, 2017",43.37,45.06,42.57,44.15,"120,765,000","2,275,660,000"
"Aug 15, 2017",45.81,45.84,42.29,43.31,"206,081,000","2,403,520,000"
"Aug 14, 2017",45.83,46.51,45.43,45.80,"114,402,000","2,403,870,000"
"Aug 13, 2017",46.57,48.07,44.33,45.81,"242,565,000","2,441,760,000"
"Aug 12, 2017",47.05,47.62,46.29,46.43,"142,065,000","2,466,360,000"
"Aug 11, 2017",46.40,47.33,46.40,47.10,"137,644,000","2,431,830,000"
"Aug 10, 2017",48.05,48.51,46.50,46.50,"121,661,000","2,517,300,000"
"Aug 09, 2017",48.59,50.23,47.16,48.01,"253,103,000","2,544,750,000"
"Aug 08, 2017",45.90,49.37,45.79,48.63,"205,565,000","2,403,230,000"
"Aug 07, 2017",45.17,46.48,45.12,45.80,"106,560,000","2,364,540,000"
"Aug 06, 2017",46.84,47.30,45.10,45.10,"147,891,000","2,451,490,000"
"Aug 05, 2017",43.49,46.92,43.48,46.86,"248,320,000","2,275,090,000"
"Aug 04, 2017",42.89,43.71,42.82,43.45,"114,810,000","2,243,440,000"
"Aug 03, 2017",42.19,43.17,42.13,42.86,"95,497,600","2,206,190,000"
"Aug 02, 2017",43.07,43.21,42.07,42.13,"103,557,000","2,251,650,000"
"Aug 01, 2017",43.02,43.77,41.09,43.04,"203,656,000","2,248,110,000"
"Jul 31, 2017",40.34,44.03,38.95,43.02,"240,821,000","2,107,540,000"
"Jul 30, 2017",41.18,41.82,40.06,40.42,"75,746,700","2,150,970,000"
"Jul 29, 2017",40.56,41.34,38.74,41.12,"109,945,000","2,117,650,000"
"Jul 28, 2017",42.22,42.47,35.94,40.61,"137,556,000","2,203,520,000"
"Jul 27, 2017",42.35,42.62,41.39,42.14,"81,714,000","2,210,020,000"
"Jul 26, 2017",42.29,42.70,40.63,42.23,"121,389,000","2,206,000,000"
"Jul 25, 2017",44.48,44.79,41.07,42.24,"206,307,000","2,319,870,000"
"Jul 24, 2017",44.16,44.81,43.29,44.41,"158,532,000","2,302,370,000"
"Jul 23, 2017",46.63,46.64,42.94,44.06,"219,257,000","2,430,320,000"
"Jul 22, 2017",45.77,46.80,45.45,46.56,"132,333,000","2,385,020,000"
"Jul 21, 2017",45.07,47.45,44.52,45.76,"286,020,000","2,347,580,000"
"Jul 20, 2017",40.96,45.45,40.96,45.02,"354,802,000","2,132,670,000"
"Jul 19, 2017",44.35,44.42,40.56,40.86,"246,377,000","2,308,550,000"
"Jul 18, 2017",42.62,45.33,41.47,44.30,"380,816,000","2,218,090,000"
"Jul 17, 2017",41.19,43.07,40.17,42.67,"355,036,000","2,142,760,000"
"Jul 16, 2017",38.92,41.97,36.38,40.91,"393,366,000","2,024,150,000"
"Jul 15, 2017",42.81,42.81,37.78,38.92,"327,332,000","2,225,560,000"
"Jul 14, 2017",46.36,46.48,40.80,42.80,"320,419,000","2,409,670,000"
"Jul 13, 2017",48.72,49.05,45.39,46.33,"229,105,000","2,531,820,000"
"Jul 12, 2017",45.26,49.07,44.07,48.75,"369,964,000","2,350,960,000"
"Jul 11, 2017",46.27,47.39,43.65,45.33,"400,045,000","2,403,210,000"
"Jul 10, 2017",49.91,50.53,44.74,46.58,"373,253,000","2,591,230,000"
"Jul 09, 2017",52.36,53.31,49.53,49.58,"409,244,000","2,717,950,000"
"Jul 08, 2017",46.64,52.75,44.67,52.14,"604,987,000","2,420,160,000"
"Jul 07, 2017",51.10,51.14,45.63,46.58,"553,712,000","2,650,900,000"
"Jul 06, 2017",53.20,53.20,50.12,51.13,"461,149,000","2,758,680,000"
"Jul 05, 2017",55.27,56.03,50.60,53.19,"790,609,000","2,865,630,000"
"Jul 04, 2017",46.56,55.42,46.56,55.33,"1,101,750,000","2,413,260,000"
"Jul 03, 2017",41.48,48.40,40.97,46.43,"729,938,000","2,149,160,000"
"Jul 02, 2017",38.95,43.27,37.80,41.57,"315,630,000","2,017,570,000"
"Jul 01, 2017",40.40,40.58,38.47,38.99,"225,507,000","2,092,370,000"
"Jun 30, 2017",41.04,41.75,40.17,40.35,"251,184,000","2,124,870,000"
"Jun 29, 2017",42.83,42.83,40.35,41.07,"300,131,000","2,216,710,000"
"Jun 28, 2017",40.82,43.61,39.18,42.85,"353,444,000","2,111,870,000"
"Jun 27, 2017",41.13,41.39,36.20,40.54,"565,265,000","2,127,600,000"
"Jun 26, 2017",44.04,44.35,37.55,41.13,"538,072,000","2,277,350,000"
